count				MSE
457				0.010867
458				0.010838
459				0.010809
460				0.010780
461				0.010752
462				0.010723
463				0.010695
464				0.010666
465				0.010638
466				0.010610
467				0.010581
468				0.010553
469				0.010525
470				0.010497
471				0.010469
472				0.010441
473				0.010414
474				0.010386
475				0.010358
476				0.010331
477				0.010303
478				0.010276
479				0.010248
480				0.010221
481				0.010194
482				0.010167
483				0.010140
484				0.010113
485				0.010086
486				0.010059
487				0.010032
488				0.010006
489				0.009979
490				0.009953
491				0.009926
492				0.009900
493				0.009873
494				0.009847
495				0.009821
496				0.009795
497				0.009769
498				0.009743
499				0.009717
500				0.009691
501				0.009665
502				0.009640
503				0.009614
504				0.009588
505				0.009563
506				0.009538
507				0.009512
508				0.009487
509				0.009462
510				0.009437
511				0.009412
512				0.009387
513				0.009362
514				0.009337
515				0.009312
516				0.009287
517				0.009263
518				0.009238
519				0.009214
520				0.009189
521				0.009165
522				0.009140
523				0.009116
524				0.009092
525				0.009068
526				0.009044
527				0.009020
528				0.008996
529				0.008972
530				0.008948
531				0.008925
532				0.008901
533				0.008877
534				0.008854
535				0.008830
536				0.008807
537				0.008784
538				0.008760
539				0.008737
540				0.008714
541				0.008691
542				0.008668
543				0.008645
544				0.008622
545				0.008599
546				0.008576
547				0.008554
548				0.008531
549				0.008509
550				0.008486
551				0.008464
552				0.008441
553				0.008419
554				0.008397
555				0.008374
556				0.008352
557				0.008330
558				0.008308
559				0.008286
560				0.008264
561				0.008243
562				0.008221
563				0.008199
564				0.008178
565				0.008156
566				0.008134
567				0.008113
568				0.008092
569				0.008070
570				0.008049
571				0.008028
572				0.008007
573				0.007985
574				0.007964
575				0.007943
576				0.007922
577				0.007902
578				0.007881
579				0.007860
580				0.007839
581				0.007819
582				0.007798
583				0.007778
584				0.007757
585				0.007737
586				0.007716
587				0.007696
588				0.007676
589				0.007656
590				0.007636
591				0.007616
592				0.007596
593				0.007576
594				0.007556
595				0.007536
596				0.007516
597				0.007496
598				0.007477
599				0.007457
600				0.007438
601				0.007418
602				0.007399
603				0.007379
604				0.007360
605				0.007341
606				0.007321
607				0.007302
608				0.007283
609				0.007264
610				0.007245
611				0.007226
612				0.007207
613				0.007188
614				0.007169
615				0.007151
616				0.007132
617				0.007113
618				0.007095
619				0.007076
620				0.007058
621				0.007039
622				0.007021
623				0.007003
624				0.006984
625				0.006966
626				0.006948
627				0.006930
628				0.006912
629				0.006894
630				0.006876
631				0.006858
632				0.006840
633				0.006822
634				0.006805
635				0.006787
636				0.006769
637				0.006752
638				0.006734
639				0.006717
640				0.006699
641				0.006682
642				0.006664
643				0.006647
644				0.006630
645				0.006613
646				0.006595
647				0.006578
648				0.006561
649				0.006544
650				0.006527
651				0.006510
652				0.006494
653				0.006477
654				0.006460
655				0.006443
656				0.006427
657				0.006410
658				0.006393
659				0.006377
660				0.006360
661				0.006344
662				0.006328
663				0.006311
664				0.006295
665				0.006279
666				0.006262
667				0.006246
668				0.006230
669				0.006214
670				0.006198
671				0.006182
672				0.006166
673				0.006150
674				0.006135
675				0.006119
676				0.006103
677				0.006087
678				0.006072
679				0.006056
680				0.006041
681				0.006025
682				0.006010
683				0.005994
684				0.005979
685				0.005963
686				0.005948
687				0.005933
688				0.005918
689				0.005902
690				0.005887
691				0.005872
692				0.005857
693				0.005842
694				0.005827
695				0.005812
696				0.005798
697				0.005783
698				0.005768
699				0.005753
700				0.005739
701				0.005724
702				0.005709
703				0.005695
704				0.005680
705				0.005666
706				0.005651
707				0.005637
708				0.005623
709				0.005608
710				0.005594
711				0.005580
712				0.005566
713				0.005552
714				0.005537
715				0.005523
716				0.005509
717				0.005495
718				0.005481
719				0.005468
720				0.005454
721				0.005440
722				0.005426
723				0.005412
724				0.005399
725				0.005385
726				0.005371
727				0.005358
728				0.005344
729				0.005331
730				0.005317
731				0.005304
732				0.005290
733				0.005277
734				0.005264
735				0.005251
736				0.005237
737				0.005224
738				0.005211
739				0.005198
740				0.005185
741				0.005172
742				0.005159
743				0.005146
744				0.005133
745				0.005120
746				0.005107
747				0.005094
748				0.005081
749				0.005069
750				0.005056
751				0.005043
752				0.005031
753				0.005018
754				0.005006
755				0.004993
756				0.004981
757				0.004968
758				0.004956
759				0.004943
760				0.004931
761				0.004919
762				0.004906
763				0.004894
764				0.004882
765				0.004870
766				0.004858
767				0.004846
768				0.004834
769				0.004822
770				0.004810
771				0.004798
772				0.004786
773				0.004774
774				0.004762
775				0.004750
776				0.004738
777				0.004727
778				0.004715
779				0.004703
780				0.004692
781				0.004680
782				0.004668
783				0.004657
784				0.004645
785				0.004634
786				0.004622
787				0.004611
788				0.004600
789				0.004588
790				0.004577
791				0.004566
792				0.004555
793				0.004543
794				0.004532
795				0.004521
796				0.004510
797				0.004499
798				0.004488
799				0.004477
800				0.004466
801				0.004455
802				0.004444
803				0.004433
804				0.004422
805				0.004411
806				0.004400
807				0.004390
808				0.004379
809				0.004368
810				0.004358
811				0.004347
812				0.004336
813				0.004326
814				0.004315
815				0.004305
816				0.004294
817				0.004284
818				0.004273
819				0.004263
820				0.004253
821				0.004242
822				0.004232
823				0.004222
824				0.004211
825				0.004201
826				0.004191
827				0.004181
828				0.004171
829				0.004161
830				0.004151
831				0.004141
832				0.004131
833				0.004121
834				0.004111
835				0.004101
836				0.004091
837				0.004081
838				0.004071
839				0.004061
840				0.004052
841				0.004042
842				0.004032
843				0.004022
844				0.004013
845				0.004003
846				0.003993
847				0.003984
848				0.003974
849				0.003965
850				0.003955
851				0.003946
852				0.003936
853				0.003927
854				0.003918
855				0.003908
856				0.003899
857				0.003890
858				0.003880
859				0.003871
860				0.003862
861				0.003853
862				0.003843
863				0.003834
864				0.003825
865				0.003816
866				0.003807
867				0.003798
868				0.003789
869				0.003780
870				0.003771
871				0.003762
872				0.003753
873				0.003744
874				0.003735
875				0.003727
876				0.003718
877				0.003709
878				0.003700
879				0.003691
880				0.003683
881				0.003674
882				0.003665
883				0.003657
884				0.003648
885				0.003640
886				0.003631
887				0.003623
888				0.003614
889				0.003606
890				0.003597
891				0.003589
892				0.003580
893				0.003572
894				0.003563
895				0.003555
896				0.003547
897				0.003539
898				0.003530
899				0.003522
900				0.003514
901				0.003506
902				0.003497
903				0.003489
904				0.003481
905				0.003473
906				0.003465
907				0.003457
908				0.003449
909				0.003441
910				0.003433
911				0.003425
912				0.003417
913				0.003409
914				0.003401
915				0.003393
916				0.003386
917				0.003378
918				0.003370
919				0.003362
920				0.003354
921				0.003347
922				0.003339
923				0.003331
924				0.003324
925				0.003316
926				0.003308
927				0.003301
928				0.003293
929				0.003286
930				0.003278
931				0.003271
932				0.003263
933				0.003256
934				0.003248
935				0.003241
936				0.003233
937				0.003226
938				0.003219
939				0.003211
940				0.003204
941				0.003197
942				0.003189
943				0.003182
944				0.003175
945				0.003168
946				0.003160
947				0.003153
948				0.003146
949				0.003139
950				0.003132
951				0.003125
952				0.003118
953				0.003111
954				0.003104
955				0.003097
956				0.003090
957				0.003083
958				0.003076
959				0.003069
960				0.003062
961				0.003055
962				0.003048
963				0.003041
964				0.003034
965				0.003028
966				0.003021
967				0.003014
968				0.003007
969				0.003000
970				0.002994
971				0.002987
972				0.002980
973				0.002974
974				0.002967
975				0.002960
976				0.002954
977				0.002947
978				0.002941
979				0.002934
980				0.002928
981				0.002921
982				0.002915
983				0.002908
984				0.002902
985				0.002895
986				0.002889
987				0.002882
988				0.002876
989				0.002870
990				0.002863
991				0.002857
992				0.002851
993				0.002844
994				0.002838
995				0.002832
996				0.002826
997				0.002820
998				0.002813
999				0.002807
1000				0.002801
1001				0.002795
1002				0.002789
1003				0.002783
1004				0.002776
1005				0.002770
1006				0.002764
1007				0.002758
1008				0.002752
1009				0.002746
1010				0.002740
1011				0.002734
1012				0.002728
1013				0.002722
1014				0.002717
1015				0.002711
1016				0.002705
1017				0.002699
1018				0.002693
1019				0.002687
1020				0.002681
1021				0.002676
1022				0.002670
1023				0.002664
1024				0.002658
1025				0.002652
1026				0.002647
1027				0.002641
1028				0.002635
1029				0.002630
1030				0.002624
1031				0.002618
1032				0.002613
1033				0.002607
1034				0.002602
1035				0.002596
1036				0.002590
1037				0.002585
1038				0.002579
1039				0.002574
1040				0.002568
1041				0.002563
1042				0.002557
1043				0.002552
1044				0.002546
1045				0.002541
1046				0.002536
1047				0.002530
1048				0.002525
1049				0.002520
1050				0.002514
1051				0.002509
1052				0.002504
1053				0.002498
1054				0.002493
1055				0.002488
1056				0.002482
1057				0.002477
1058				0.002472
1059				0.002467
1060				0.002462
1061				0.002456
1062				0.002451
1063				0.002446
1064				0.002441
1065				0.002436
1066				0.002431
1067				0.002426
1068				0.002420
1069				0.002415
1070				0.002410
1071				0.002405
1072				0.002400
1073				0.002395
1074				0.002390
1075				0.002385
1076				0.002380
1077				0.002375
1078				0.002370
1079				0.002366
1080				0.002361
1081				0.002356
1082				0.002351
1083				0.002346
1084				0.002341
1085				0.002336
1086				0.002331
1087				0.002327
1088				0.002322
1089				0.002317
1090				0.002312
1091				0.002308
1092				0.002303
1093				0.002298
1094				0.002293
1095				0.002289
1096				0.002284
1097				0.002279
1098				0.002275
1099				0.002270
1100				0.002265
1101				0.002261
1102				0.002256
1103				0.002251
1104				0.002247
1105				0.002242
1106				0.002238
1107				0.002233
1108				0.002229
1109				0.002224
1110				0.002220
1111				0.002215
1112				0.002211
1113				0.002206
1114				0.002202
1115				0.002197
1116				0.002193
1117				0.002188
1118				0.002184
1119				0.002179
1120				0.002175
1121				0.002171
1122				0.002166
1123				0.002162
1124				0.002158
1125				0.002153
1126				0.002149
1127				0.002145
1128				0.002140
1129				0.002136
1130				0.002132
1131				0.002128
1132				0.002123
1133				0.002119
1134				0.002115
1135				0.002111
1136				0.002106
1137				0.002102
1138				0.002098
1139				0.002094
1140				0.002090
1141				0.002086
1142				0.002082
1143				0.002077
1144				0.002073
1145				0.002069
1146				0.002065
1147				0.002061
1148				0.002057
1149				0.002053
1150				0.002049
1151				0.002045
1152				0.002041
1153				0.002037
1154				0.002033
1155				0.002029
1156				0.002025
1157				0.002021
1158				0.002017
1159				0.002013
1160				0.002009
1161				0.002005
1162				0.002001
1163				0.001997
1164				0.001994
1165				0.001990
1166				0.001986
1167				0.001982
1168				0.001978
1169				0.001974
1170				0.001970
1171				0.001967
1172				0.001963
1173				0.001959
1174				0.001955
1175				0.001952
1176				0.001948
1177				0.001944
1178				0.001940
1179				0.001937
1180				0.001933
1181				0.001929
1182				0.001925
1183				0.001922
1184				0.001918
1185				0.001914
1186				0.001911
1187				0.001907
1188				0.001904
1189				0.001900
1190				0.001896
1191				0.001893
1192				0.001889
1193				0.001885
1194				0.001882
1195				0.001878
1196				0.001875
1197				0.001871
1198				0.001868
1199				0.001864
1200				0.001861
1201				0.001857
1202				0.001854
1203				0.001850
1204				0.001847
1205				0.001843
1206				0.001840
1207				0.001836
1208				0.001833
1209				0.001829
1210				0.001826
1211				0.001823
1212				0.001819
1213				0.001816
1214				0.001812
1215				0.001809
1216				0.001806
1217				0.001802
1218				0.001799
1219				0.001796
1220				0.001792
1221				0.001789
1222				0.001786
1223				0.001782
1224				0.001779
1225				0.001776
